,Nombre,Precio,Precio por m2
147,Marley Acme Double Camber Clay Plain Tiles (Pack of 12 Tiles),   13.33 ,
148,Sandtoft Neo Pantile - Clay Tile - Antique Slate,3.48,
149,Marley Lincoln Interlocking Clay Pantiles (Pack of 88 Tiles),   204.92 ,
150,Tapco Synthetic Slate Tile - Pewter Grey (25 Pack),63.48,45.71
151,Britmet - LiteSlate - Lightweight Synthetic Tile - Slate (Pack of 22),50.39,41.23
152,Guardian Synthetic Slate Roof Tile - Slate Grey (Pack of 22),52.80,43.20
153,Britmet - Slate 2000 - Lightweight Metal Roof Tile - Titanium Grey (0.45mm),10.04,21.79
154,Britmet - Profile 49 - Lightweight Metal Roof Tile - Titanium Grey (0.45mm),10.63,22.11
155,Britmet - Villatile - Lightweight Metal Roof Tile - Rustic Terracotta (0.45mm),10.22,23.00
156,Redland 49 Tile - Concrete Tile - Smooth Premier Rustic Red (1101),1.78,29.01
157,Marley Modern Interlocking Concrete Roof Tiles (Pack of 32 Tiles),   63.67 ,
158,Coroshingle - Roof Shingles - Slate Grey (2m2 Pack - 14 Shingle Strips),30.42,15.21
159,Coroshingle - Roof Shingles - Red (2m2 Pack - 14 Shingle Strips),30.42,15.21
160,Coroshingle - Roof Shingles - Green (2m2 Pack - 14 Shingle Strips),30.42,15.21
161,Britmet - Plaintile Plus - Lightweight Metal Roof Tile - Moss Green (0.9mm),8.75,43.75
162,Britmet - Slate 2000 Plus - Lightweight Metal Roof Tile - Titanium Grey (0.9mm),14.37,31.18
163,Britmet - Slate 2000 Plus - Lightweight Metal Roof Tile - Rustic Brown (0.9mm),14.37,31.18
164,Britmet - Ultratile Plus - Lightweight Metal Roof Tile - Titanium Grey (0.9mm),14.37,31.33
165,Britmet - Ultratile Plus - Lightweight Metal Roof Tile - Rustic Brown (0.9mm),14.37,31.33
166,Britmet - Villatile Plus - Lightweight Metal Roof Tile - Bramble Brown (0.9mm),14.57,32.78
167,Britmet - Profile 49 Plus - Lightweight Metal Roof Tile - Rustic Terracotta (0.9mm),14.96,31.12
168,Redland Renown Tile - Concrete Tile - Smooth Slate Grey (1501),2.45,23.77
169,Marley Double Roman Concrete Roof Tiles (Pack of 32 Tiles),   63.67 ,
170,Redland Regent Tile - Concrete Tile - Smooth Farmhouse Red (3401),2.57,24.93
171,Marley Acme Double Camber Clay Plain Tiles (Pack of 12 Tiles),   13.33 ,
172,Sandtoft Neo Pantile - Clay Tile - Antique Slate,3.48,
173,Marley Lincoln Interlocking Clay Pantiles (Pack of 88 Tiles),   204.92 ,
174,Tapco Synthetic Slate Tile - Pewter Grey (25 Pack),63.48,45.71
175,Britmet - LiteSlate - Lightweight Synthetic Tile - Slate (Pack of 22),50.39,41.23
176,Guardian Synthetic Slate Roof Tile - Slate Grey (Pack of 22),52.80,43.20
177,Britmet - Slate 2000 - Lightweight Metal Roof Tile - Titanium Grey (0.45mm),10.04,21.79
178,Britmet - Profile 49 - Lightweight Metal Roof Tile - Titanium Grey (0.45mm),10.63,22.11
179,Britmet - Villatile - Lightweight Metal Roof Tile - Rustic Terracotta (0.45mm),10.22,23.00
180,Redland 49 Tile - Concrete Tile - Smooth Premier Rustic Red (1101),1.78,29.01
181,Marley Modern Interlocking Concrete Roof Tiles (Pack of 32 Tiles),   63.67 ,
182,Coroshingle - Roof Shingles - Slate Grey (2m2 Pack - 14 Shingle Strips),30.42,15.21
183,Coroshingle - Roof Shingles - Red (2m2 Pack - 14 Shingle Strips),30.42,15.21
184,Coroshingle - Roof Shingles - Green (2m2 Pack - 14 Shingle Strips),30.42,15.21
185,Britmet - Plaintile Plus - Lightweight Metal Roof Tile - Moss Green (0.9mm),8.75,43.75
186,Britmet - Slate 2000 Plus - Lightweight Metal Roof Tile - Titanium Grey (0.9mm),14.37,31.18
187,Britmet - Slate 2000 Plus - Lightweight Metal Roof Tile - Rustic Brown (0.9mm),14.37,31.18
188,Britmet - Ultratile Plus - Lightweight Metal Roof Tile - Titanium Grey (0.9mm),14.37,31.33
189,Britmet - Ultratile Plus - Lightweight Metal Roof Tile - Rustic Brown (0.9mm),14.37,31.33
190,Britmet - Villatile Plus - Lightweight Metal Roof Tile - Bramble Brown (0.9mm),14.57,32.78
